managing_body,fund,report_year,report_qurater,instrument_type,instrument_sub_type,instrument_symbol,instrument_id,underlying_asset,industry,rating,rating_agency,date_of_purchase,average_of_duration,currency,intrest_rate,yield,par_value,rate,market_cap,fair_value,rate_of_ipo,rate_of_fund,date_of_revaluation,type_of_asset,tmp_name,issuer_number
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,9590332,,,AAA,פנימי,,5.35,NIS,4,0.23,738637,159.62,1179.01,,,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,9590431,,,AAA,פנימי,,7.75,NIS,4,0.61,599013,160,958.42,,0.01,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,1114750,,,AAA,פנימי,,3.82,NIS,3,-0.03,36144,126.62,45.77,,,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,1108927,,,AAA,פנימי,,2.49,NIS,3.5,0.14,2427183,129.17,3135.19,,0.01,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,1120583,,,AAA,פנימי,,19.72,NIS,2.75,1.52,136502,135,184.28,,,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,1124056,,,AAA,פנימי,,6.51,NIS,2.75,0.41,2476560,120.12,2974.84,,0.02,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,1125905,,,AAA,פנימי,,1.65,NIS,1,0.14,493413,104.9,517.59,,,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,8160814,,,AAA,פנימי,,0.84,NIS,0.001,0.07,1669710,99.94,1668.71,,0.02,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,1099456,,,AAA,פנימי,,8.44,NIS,6.25,2.24,599879,144.61,867.49,,,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,1110907,,,AAA,פנימי,,3.12,NIS,6,0.53,1400000,122,1708,,0.01,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,1115773,,,AAA,פנימי,,3.93,NIS,5,0.85,818017,120.93,989.23,,,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,1122019,,,AAA,פנימי,,0.92,NIS,4.25,0.1,3943328,104.17,4107.77,,0.02,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,1123272,,,AAA,פנימי,,5.46,NIS,5.5,1.39,120800,128.42,155.13,,,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,1126218,,,AAA,פנימי,,2.23,NIS,4,0.26,1000000,111.37,1113.7,,0.01,,,,,
clal,1284,2015,3,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,,1126747,,,AAA,פנימי,,6.55,NIS,4.25,1.7,750000,119.92,899.4,,,,,,,
clal,1284,2015,3,ניירות ערך סחירים,"אג""ח קונצרני",,6040208,,שירותים פיננסיים,AAA,מעלות,,0.83,NIS,5.05,1.74,173634.5,135.46,235.21,,0.07,,,,,
clal,1284,2015,3,ניירות ערך סחירים,"אג""ח קונצרני",,2310092,,בנקים,AAA,מעלות,,0.53,NIS,2.6,3.34,190000,105.64,200.72,,0.01,,,,,
clal,1284,2015,3,ניירות ערך סחירים,"אג""ח קונצרני",,1940576,,בנקים,AAA,מעלות,,4.4,NIS,0.7,0.82,593000,101.25,600.41,,0.01,,,,,
clal,1284,2015,3,ניירות ערך סחירים,"אג""ח קונצרני",,1135177,,בנקים,AA+,מעלות,,4.42,NIS,0.8,0.69,192500,102.31,196.95,,0.03,,,,,
clal,1284,2015,3,ניירות ערך סחירים,"אג""ח קונצרני",,6040232,,בנקים,AA+,מעלות,,1.06,NIS,4.4,1.68,76375,126,96.23,,,,,,,
clal,1284,2015,3,ניירות ערך סחירים,"אג""ח קונצרני",,6040273,,בנקים,AA+,מעלות,,1.92,NIS,2.6,0.98,953689,110.36,1052.49,,0.03,,,,,
clal,1284,2015,3,ניירות ערך סחירים,"אג""ח קונצרני",,6040299,,בנקים,AA+,מעלות,,4.68,NIS,3.4,0.89,82000,119.05,97.62,,,,,,,
clal,1284,2015,3,ניירות ערך סחירים,"אג""ח קונצרני",,2310068,,בנקים,AA+,מעלות,,1.62,NIS,3.9,0.95,585238,127.66,747.12,,0.04,,,,,
clal,1284,2015,3,ניירות ערך סחירים,"אג""ח קונצרני",,2310035,,שירותים פיננסיים,AA+,מעלות,,1.12,NIS,5.5,0.88,35100,142.39,49.98,,0.02,,,,,
clal,1284,2015,3,ניירות ערך סחירים,"אג""ח קונצרני",,2310076,,בנקים,AA+,מעלות,,3.81,NIS,3,0.88,250000,115.24,288.1,,0.05,,,,,
clal,1284,2015,3,ניירות ערך סחירים,"אג""ח קונצרני",,1940402,,בנקים,AA+,מעלות,,3.29,NIS,4.6,0.94,130124,136.7,177.88,,,,,,,
clal,1284,2015,3,ניירות ערך סחירים,"אג""ח קונצרני",,1105576,,בנקים,AA,מעלות,,1.17,NIS,3.85,1.15,336746,125.51,422.65,,0.05,,,,,
