גוף מנהל,שם קרן,מספר קופה,לינק לקובץ Q1 2013,לינק לאתר,סוג קופה,מי עובד על הקופה ?,הערות (אם יש משהו מסובך בנגישות לקובץ),
"איילון חברה לביטוח בע""מ",איילון פסגה,131,http://www.ayalon-ins.co.il/NR/rdonlyres/A2E991B1-3251-4659-AD4A-BC9FC1EC1554/0/Pe_Ayalon_Pisga_131_Reshinat_Nechaism_Rivon1_2013.xls,http://www.ayalon-ins.co.il/Ayalon/Pension/Pisga/Netunim_kaspyim_Vehaskaot/Quarterly_Report.htm,קרן פנסיה,,יש 4 מסלולים שונים של אותה קופה. צריך לבדוק,
"איילון חברה לביטוח בע""מ",איילון פסגה מנהלים *,657,http://www.ayalon-ins.co.il/NR/rdonlyres/972E5A7C-02A1-4F7A-9983-675B4016C3BF/0/Pe_Ayalon_Pisga_Menahalim_657_Reshinat_Nechaism_Rivon1_2013.xls,http://www.ayalon-ins.co.il/Ayalon/Pension/Pisga/Netunim_kaspyim_Vehaskaot/Quarterly_Report.htm,קרן פנסיה,,,
"איילון חברה לביטוח בע""מ",מגן זהב,166,http://www.ayalon-ins.co.il/NR/rdonlyres/A0D548C2-FF51-4AEC-912D-DCDF52E262DE/0/Pe_Magen_Zahav_Reshimat_Nechasim_Rivon1_2013.xls,http://www.ayalon-ins.co.il/Ayalon/Pension/Magen_Zahav/Netunim_kaspyim_Vehaskaot/Reshimat_Nechasim_Rivonit.htm,קרן פנסיה,,,
"אלטשולר שחם בע""מ",אלטשולר שחם פנסיה כללית *,1329,https://www.as-invest.co.il/FilesArchive/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%94%D7%A0%D7%9B%D7%A1%D7%99%D7%9D%20%D7%A7%D7%A8%D7%9F%20%D7%9B%D7%9C%D7%9C%D7%99%D7%AA%20-%20%D7%9E%D7%A8%D7%A5%202013%20-%20%D7%9E%D7%AA%D7%95%D7%A7%D7%9F.xls,https://www.as-invest.co.il/pension/general/.aspx,קרן פנסיה,,"למטה תחת מידע נוסף על הקופה צריך ללחוץ על ""רשימת נכסים""",
"אלטשולר שחם בע""מ",אלטשולר שחם פנסיה מקיפה,1328,https://www.as-invest.co.il/FilesArchive/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%94%D7%A0%D7%9B%D7%A1%D7%99%D7%9D%20%D7%A7%D7%A8%D7%9F%20%D7%9E%D7%A7%D7%99%D7%A4%D7%94%20-%20%D7%9E%D7%A8%D7%A5%202013%20-%20%D7%9E%D7%AA%D7%95%D7%A7%D7%9F.xls,https://www.as-invest.co.il/pension/mekifa/.aspx,קרן פנסיה,,"למטה תחת מידע נוסף על הקופה צריך ללחוץ על ""רשימת נכסים""",
"אקסלנס השקעות בע""מ",אקסלנס נשואה פנסיה,180,https://www.xnes.co.il/Modules/Kupa/Getfile.ashx?ID=6034,https://www.xnes.co.il/pension/OurPensions/Mekifa.aspx,קרן פנסיה,,,
"אקסלנס נשואה גמל ופנסיה בע""מ",אקסלנס נשואה פנסיה חיסכון *,670,https://www.xnes.co.il/Modules/Kupa/Getfile.ashx?ID=6033,https://www.xnes.co.il/pension/OurPensions/Klalit.aspx,קרן פנסיה,,,
"אי.בי.אי בית השקעות בע""מ","אי.בי.אי השתלמות אג""ח ועוד",1203,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1203_4511.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ","אי.בי.אי השתלמות אג""ח ללא מניות",1202,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1202_4381.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ","אי.בי.אי השתלמות אג""ח מדינת ישראל",1443,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1443_4631.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות בניהול אישי,2100,,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות כללי,1204,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1204_4141.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות מחקה מדד מדדיות ממשלתיות 2-5 שנים,2268,,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ","אי.בי.אי השתלמות מחקה מדד ת""א 25",2264,,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות מחקה מדד S and P500,2265,,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות מניות,1205,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1205_4261.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
