managing_body,fund,report_year,report_qurater,instrument_type,instrument_sub_type,instrument_symbol,instrument_id,underlying_asset,industry,rating,rating_agency,date_of_purchase,average_of_duration,currency,intrest_rate,yield,par_value,rate,market_cap,fair_value,rate_of_ipo,rate_of_fund,date_of_revaluation,type_of_asset,tmp_name
Migdal,199,2012,4,מזומנים,,עו'ש,1111111111- 10- לאומי,,,0,לא מדורג,,,NIS,0,0,,,15196.17209,,,4.89952859385333,,,
Migdal,199,2012,4,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,גליל  5472- גליל,9547233,,,RF,פנימי,,2.2,NIS,5,-0.15,2459999.66,151.34,3722.963485444,,0.0183103058379739,1.20036174609971,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",מזרחי טפ הנפקות 33- מזרחי טפחות חברה להנפקות בע"מ,2310092,,בנקים,AA+,מעלות,,3.14,NIS,2.6,0.73,786029,111.29,874.7716741,,0.0339278106708092,0.282044789927885,,,
Migdal,199,2012,4,ניירות ערך סחירים,תעודות סל,הראל סל ג תל בונד 20- הראל סל בע"מ,1113240,,,,,,,NIS,,,1470000,291.6,4286.52,,0.602944755112983,1.38206422169023,,,
Migdal,199,2012,4,ניירות ערך סחירים,קרנות נאמנות,*MTF קרן תל בונד 20- ומגדל קרנות נאמנות MTF,5112388,,מוצרי אגח,0,לא מדורג,,,NIS,,,1350000,119.39,1611.765,,0.254076109142153,0.519666942011831,,,
Migdal,199,2012,4,ניירות ערך סחירים,כתבי אופציה,כלכלית ים אפ 21- כלכלית ירושלים בע"מ,1980325,,נדל"ן ובינוי,,,,,NIS,,,2500,20,0.5,,0.423686444914831,0.000161210518286422,,,
Migdal,199,2012,4,ניירות ערך סחירים,מוצרים מובנים,גלובל פינ8 אגח ג- גלובל פיננס ג'י.אר 8 בע"מ,1103308,אשראי,,Ba3,מידרוג,2007-04-25T00:00:00.000Z,1.15,NIS,4.5354,5.02,0.12,118.95,0.00014274,,1.75134068047992e-07,4.60223787604079e-08,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,תעודות חוב מסחריות,בריטיש ישראל נע"מ- בריטיש-ישראל השקעות בע"מ,29991750,,נדל"ן ובינוי,AA-,מעלות,2011-12-13T00:00:00.000Z,0.95,NIS,2.95,1.75,402197,100.157916666667,,402.832136095833,0,0.129881554884872,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,"אג""ח קונצרני",מקורות אגח א לס- מקורות חברת מים בע"מ,1087758,,שרותים,AAA,מעלות,2003-04-13T00:00:00.000Z,0.28,NIS,6.17,0.42,635339.12,127.08,,807.388953696,0.145608631124336,0.260319183368129,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,מניות,קבוצת דפי זהב מניה לס msh- קבוצת דפי זהב בע"מ,29991623,,שרותים,,,,,NIS,,,4192,4933.3,206.803936,,0.139733333333333,0.0666779394124643,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,כתבי אופציה,צים - אגח א רמ ms אופציה- צים שירותי ספנות משולבים בע"מ,29991857,,שרותים,,,2012-09-27T00:00:00.000Z,,USD,,,32292.76446,4,,1.2917105784,0,0.000416474663639837,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,מוצרים מובנים,גלובל 8 א חוב שלא שולם ms- גלובל פיננס ג'י.אר 8 בע"מ,1116003,אשראי,,B1,מידרוג,2010-06-29T00:00:00.000Z,0.01,NIS,2.02231,0.01,22461.07,67.725,15.2117596575,,0.0673728278472287,0.00490459131686813,,,
Migdal,199,2012,4,הלוואות,,הלוואות לחברים מגדל אגח"י2173,101-29991197,,,AA+,פנימי,,0.08,NIS,0,5,136848,133.85,,183.171048,,0.0590581991662943,,,
Migdal,199,2012,4,פקדונות,,*פקדון בבנק לאומי למשכנתאות- בנק לאומי למשכנתאות בע"מ,77-15000208,,,AA+,מעלות,,0.06,NIS,5,0.32,23496.2,145.06,,34.08358772,,0.0109892656828039,,,
Migdal,199,2012,4,סכום נכסי הקרן,,סעיף 1. נכסים המוצגים לפי שווי הוגן:,,,,,,,,,,,,,,,,,,,
Migdal,199,2012,4,מזומנים,,עו'ש,1111111111- 11- בנק דיסקונט,,,0,לא מדורג,,,NIS,0,0,,,2116.59324,,,0.682434186443876,,,
Migdal,199,2012,4,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,גליל  5904- גליל,9590431,,,RF,פנימי,,9.65,NIS,4,1.43,900000,156.54,1408.86,,0.00933093659587112,0.454246101586018,,,
Migdal,199,2012,4,ניירות ערך סחירים,תעודות סל,מבט מדדים כד תל בונד 20- מבט מדדים בע"מ,1101443,,,,,,,NIS,,,1738150,291.86,5072.96459,,0.0869075,1.63563050160514,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",מזרחי טפחות הנפקות אגח 29- מזרחי טפחות חברה להנפקות בע"מ,2310050,,בנקים,AA+,מעלות,,1.93,NIS,4.2,0.5,925000,132.36,1224.33,,0.109914919910642,0.394749747707231,,,
Migdal,199,2012,4,ניירות ערך סחירים,קרנות נאמנות,*MTF תל בונד 60 קרן- ומגדל קרנות נאמנות MTF,5112420,,מוצרי אגח,0,לא מדורג,,,NIS,,,7000000,119.97,8397.9,,3.82374568796199,2.70765962303509,,,
Migdal,199,2012,4,ניירות ערך סחירים,מוצרים מובנים,גלובל פינ8 אגח א ms- גלובל פיננס ג'י.אר 8 בע"מ,1103282,אשראי,,B1,מידרוג,2012-11-19T00:00:00.000Z,1.16,NIS,3.95,4.89,176544.47,118.05,208.410746835,,0.086525542150105,0.0671960090274615,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,"אג""ח קונצרני",פלאפון א- פלאפון תקשורת בע"מ,1090778,,מסחר,AA+,מעלות,2004-12-27T00:00:00.000Z,0.73,NIS,5.2,0.78,223964.98,128.29,,287.324672842,0.719566200803213,0.0926395188506712,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,מוצרים מובנים,RBS 0% 22.8.2016- RBS,XS0198846783,אשראי,,,לא מדורג,2012-04-04T00:00:00.000Z,5.46,USD,0,0.01,2090480,2.409002,50.3597050096,,0,0.0162370282906979,,,
Migdal,199,2012,4,הלוואות,,משאב הלוואה 2 17/05/10,124-29991564,,,AA-,מעלות,,2.32,NIS,5.67,3.28,892867.06,106.34,,949.474831604,,0.306130659405589,,,
Migdal,199,2012,4,פקדונות,,פקדון בבנק  מזרחי (לצורך מכירה- בנק מזרחי טפחות בע"מ,20-16000398,,,AA+,מעלות,,1.53,NIS,6.3,-0.15,628755.08,147.11,,924.961598188,,0.29822707727785,,,
Migdal,199,2012,4,סכום נכסי הקרן,,א. מזומנים ושווי מזומנים,,,,,,,,,,,,,,31871.16783162,,10.2758574452628,,,
Migdal,199,2012,4,מזומנים,,עו'ש,1111111111- 13- בנק איגוד,,,0,לא מדורג,,,NIS,0,0,,,0.0306,,,9.86608371912905e-06,,,
Migdal,199,2012,4,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,גליל 5903- גליל,9590332,,,RF,פנימי,,7.47,NIS,4,1.02,1800000,161.59,2908.62,,0.0119203663896793,0.937800275396508,,,
Migdal,199,2012,4,ניירות ערך סחירים,תעודות סל,פסגות סל בונד 40- פסגות תעודות סל מדדים בע"מ,1109412,,,,,,,NIS,,,37000,2764,1022.68,,0.0983981630073542,0.329733545682317,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",פועלים הנפ 25- הפועלים הנפקות בע"מ,1940360,,בנקים,AA+,מעלות,,2.26,NIS,4.35,0.51,950000,135.51,1287.345,,0.0633333333333333,0.415067109326869,,,
